Time Stamp (ns since boot),xGyro (rad/s),yGyro (rad/s),zGyro (rad/s), xAccel (g), yAccel (g), zAccel (g), xMag (uT), yMag (uT), zMag (uT), Temp (C), Roll (deg), Pitch (deg), Yaw (deg), Yaw Accuracy (deg)
1002196297100,-9.321064E-4,8.322378E-4,0.0016476978,0.4357447,0.038307227,9.856929,-34.290382,-0.5307495,-73.45419,N/A,-2.2952707,0.14904754,88.48726,180.0
1002201295278,-9.321064E-4,8.322378E-4,0.0016476978,0.40701428,0.019153614,9.856929,-34.46262,-0.1733022,-73.0638,N/A,-2.2962499,0.14907542,88.487274,180.0
1002206295075,1.3315806E-4,0.0029627667,-4.828311E-4,0.40222588,0.0047884034,9.818622,-34.46262,-0.1733022,-73.0638,N/A,-2.2962499,0.14907509,88.48726,180.0
1002211292681,1.3315806E-4,0.0029627667,-4.828311E-4,0.39743748,0.02873042,9.907207,-34.39612,0.31379998,-72.9334,N/A,-2.2962499,0.14907509,88.48726,180.0
1002216294580,-9.321064E-4,8.322378E-4,5.824333E-4,0.35194764,0.055066638,9.856929,-34.39612,0.31379998,-72.9334,N/A,-2.2959156,0.14861526,88.48724,180.0
1002221293219,-0.0019973707,-2.330266E-4,-4.828311E-4,0.34715924,0.04070143,9.904813,-34.13225,0.543702,-73.25736,N/A,-2.2959156,0.14861526,88.48724,180.0
1002226293234,1.3315806E-4,0.0018975022,-0.00261336,0.4237737,0.019153614,9.821015,-34.13225,0.543702,-73.25736,N/A,-2.2961686,0.1490595,88.48726,180.0
1002231290935,1.3315806E-4,-2.330266E-4,0.0016476978,0.39264908,0.038307227,9.876082,-34.00452,0.20440343,-73.94945,N/A,-2.29773,0.14926164,88.487274,180.0
1002236290523,1.3315806E-4,-0.0023635554,5.824333E-4,0.38307226,0.011971008,9.849746,-34.00452,0.20440343,-73.94945,N/A,-2.29773,0.14926131,88.487274,180.0
1002241288004,-9.321064E-4,0.0018975022,5.824333E-4,0.4141969,0.035913024,9.854534,-34.16752,-0.3098806,-74.479935,N/A,-2.2987304,0.14962937,88.48729,180.0
1002246287429,0.0011984225,-2.330266E-4,-4.828311E-4,0.40462008,0.0047884034,9.811439,-34.16752,-0.3098806,-74.479935,N/A,-2.2987304,0.14962904,88.48729,180.0
